session_timestamp,cam_idx,cam_name,frames,total_runtime_s,avg_fps,avg_latency_ms,inference_runs,avg_inference_ms,total_inference_ms,unique_persons,log_csv,roi_dir,avg_proc_rss_bytes,peak_proc_rss_bytes,avg_proc_cpu_percent,avg_gpu_mem_bytes,peak_gpu_mem_bytes,config
1970-01-01 00:00:00,0,Back_left,64,3.9034276008605957,16.4,23.4,33,34.0,1121.4,1,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260407.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,63,3.8769936561584473,16.25,22.9,32,34.8,1113.7,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260407.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,64,3.923492908477783,16.31,22.4,33,34.7,1146.2,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260407.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,64,3.9144420623779297,16.35,22.7,33,35.0,1155.5,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260407.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,12804,645.2846410274506,19.84,13.4,6403,15.5,99005.6,2,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,12802,645.2951891422272,19.84,13.1,6402,15.8,100841.4,2,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left,12803,645.297251701355,19.84,12.3,6402,14.0,89365.2,2,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,3,Front_right,12803,645.2667000293732,19.84,11.6,6402,13.6,86962.4,7,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,0,Back_left,109877,5582.294094800949,19.68,19.3,54939,23.6,1297641.2,6,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,156178,7936.9891476631165,19.68,19.9,78090,24.8,1939786.3,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
